ID,region_narrow,name,sex,country,notes,lat,long,hindwingWhite,forewingTip,groundColour,group,bam
SM16K580,NRB,Nadia,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K580.DSW44983.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K584,NRB,Agnes,F,Kenya,N/A,-1.39,36.82,absent,absent,light,other,SM16K584.DSW44973-1.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K585,NRB,Maureen,F,Kenya,N/A,-1.39,36.82,absent,present,dark,other,SM16K585.DSW31523.220307.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K618,NRB,Ralph,M,Kenya,N/A,-1.39,36.82,absent,absent,intermediate,other,SM16K618.DSW44969.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K620,NRB,Oisin,M,Kenya,N/A,-1.39,36.82,absent,absent,intermediate,other,SM16K620.DSW44967.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K622,NRB,Fergus,M,Kenya,N/A,-1.39,36.82,absent,absent,light,other,SM16K622.DSW44988.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K626,NRB,Tim,M,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K626.DSW31524.220308.Dchry2.2.bwa.default.rmdup_2sets.bam
SM16K627,NRB,Danielle,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K627.DSW31525.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K628,NRB,Marlie,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K628.DSW44985.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K630,NRB,Oonagh,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K630.DSW44972.220307.Dchry2.2.bwa.default.rmdup.bam
SM16K631,NRB,Niamh,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K631.DSW44984.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K633,NRB,Aisling,F,Kenya,N/A,-1.39,36.82,absent,partial,light,other,SM16K633.DSW44986.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K634,NRB,Laoise,F,Kenya,N/A,-1.39,36.82,absent,present,light,other,SM16K634.DSW44987.220308.Dchry2.2.bwa.default.rmdup.bam
SM16K641,NRB,Orla,F,Kenya,N/A,-1.39,36.82,NA,NA,NA,other,SM16K641.DSW44965.220308.Dchry2.2.bwa.default.rmdup.bam
ABRI183097,NRB,Jane,F,Kenya,N/A,-1.304,36.693,absent,absent,light,other,ABRI183097.EDSW200018989-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM16L05,MPL,Tinkerbell,F,Kenya,N/A,0.189,37.139064,absent,present,light,other,SM16L05.UKDSW02206.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M009,MPL,Asali,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M009.EDSW200000310-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M015,MPL,Njoki,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M015.EDSW200000311-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M019,MPL,Diana,F,Kenya,N/A,0.352,36.896,absent,present,light,other,SM19M019.EDSW200000312-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M020,MPL,Salma,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M020.EDSW200000313-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M021,MPL,Selma,F,Kenya,N/A,0.352,36.896,absent,present,light,other,SM19M021.EDSW200018988-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M025,MPL,Christina,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M025.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M026,MPL,Alicia,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M026.H3YGMDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M027,MPL,Isabella,F,Kenya,N/A,0.352,36.896,absent,absent,light,other,SM19M027.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M030,MPL,Camilla ,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M030.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M036,MPL,Milo,M,Kenya,N/A,0.352,36.896,partial,partial,light,other,SM19M036.EDSW200018983-1a.220308.Dchry2.2.bwa.default.rmdup.bam
SM19M038,MPL,Akinyi,F,Kenya,N/A,0.352,36.896,absent,absent,light,other,SM19M038.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M042,MPL,Zawadi ,F,Kenya,N/A,0.352,36.896,absent,absent,light,other,SM19M042.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M043,MPL,Athena,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M043.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M044,MPL,Rehema,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M044.merged.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M045,MPL,Esther,F,Kenya,N/A,0.352,36.896,absent,absent,light,other,SM19M045.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
SM19M051,MPL,Mercy,F,Kenya,N/A,0.352,36.896,absent,partial,light,other,SM19M051.H3YGMDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
