indiv,region_narrow,name,sex,country,colour,region,notes,lat,long,hindwingWhite,forewingBand,backgroundColour,bam
IG20NY033,NYA,Larry ,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,present,dark,IG20NY033.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY034,NYA,Lenny ,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY034.H5HJMDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY035,NYA,Gavin,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,partial,present,dark,IG20NY035.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY036,NYA,Garfield,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY036.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY039,NYA,Trevor,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,intermediate,IG20NY039.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY040,NYA,Percy ,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,light,IG20NY040.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY041,NYA,Tommy,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,intermediate,IG20NY041.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY042,NYA,Drake,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,present,partial,light,IG20NY042.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY043,NYA,Francisca,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY043.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY045,NYA,Kiran,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,intermediate,IG20NY045.292.220202.Dchry2.2.bwa.default.rmdup.bam
IG20NY046,NYA,Callie,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY046.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY047,NYA,Jess,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY047.H5GL5DSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY048,NYA,Betty ,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY048.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY049,NYA,Bertha,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,light,IG20NY049.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY053,NYA,Aoibheann ,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,light,IG20NY053.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY054,NYA,Arthur ,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,absent,light,IG20NY054.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY056,NYA,Balthazar,M,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY056.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
IG20NY057,NYA,Carine,F,Rwanda,tomato4,tomato4,N/A,-2.154,30.077,absent,present,dark,IG20NY057.H5J5MDSX5.221107.Dchry2.2.bwa.default.rmdup.bam
